Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Fecha de recepcion,Fecha de respuesta,Fecha de vencimiento,Fecha de entrega,PROYECTO,Prefactibilidad,Estado del proyecto,Portafolio,Power (MW),Codigo,Status,Version,Código Infra
65af7a33354147c8caea9fba,HULE PLANA 3,https://trello.com/c/RH0iRKpB/193-hule-plana-3,,,,,3,"https://trello.com/1/cards/65af7a33354147c8caea9fba/attachments/65af7c3d0b79a92eb8617c30/download/HULEPLANA_(1).png, https://trello.com/c/27jigr2c, https://trello.com/c/6j24Qh25/520-revision-propuestas-previas-12",0,0,0,0,2024-01-24T11:07:50.401Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Tramitacion,,,BE-Pendiente,,,
65af7cecafb841c345949578,Implantacion Firma Terrenos LA PLANA,https://trello.com/c/27jigr2c/199-implantacion-firma-terrenos-la-plana,,,,2023-12-01T08:45:00.000Z,3,"https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2F231122%5FGuille%5FLaPlana%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://trello.com/1/cards/65af7cecafb841c345949578/attachments/65af7cecafb841c34594965f/download/image.png, https://trello.com/c/RH0iRKpB/193-hule-plana-3",0,0,0,0,2024-01-23T10:52:08.584Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,true,,2023-11-22T11:00:00.000Z,2023-12-01T11:00:00.000Z,,,,,,,BE-Pendiente,Finalizada,,
65b0ddd4b4cb5b6e83bb1229,MARTELL LLINARS 1,https://trello.com/c/qPl4G68A/517-martell-llinars-1,,,,,2,"https://trello.com/1/cards/65b0ddd4b4cb5b6e83bb1229/attachments/65b0de1f980abea5cca748a4/download/MARTELLLLINARS.png, https://trello.com/c/6j24Qh25/520-revision-propuestas-previas-12",0,0,0,0,2024-01-24T09:59:11.395Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Eliminado/Aval,No aplica,,BE-Pendiente,,,
65b0de62dbaac87edf0c27a7,Revision Propuestas previas (12),https://trello.com/c/6j24Qh25/520-revision-propuestas-previas-12,,,,2023-11-30T11:00:00.000Z,18,"https://trello.com/1/cards/65b0de62dbaac87edf0c27a7/attachments/65b0de96da2feaed87428aa9/download/image.png, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2FPropuestas%20Previas%20NARSIL%20PALAU%201%20y%20de%20EDORAS%20MENAT%201%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2FPropuesta%20Previa%20Laurel%20Caldes%201%20y%202%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2FNuevas%20comunicaciones%20e%2Ddistribuci%C3%B3n%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2FNovedades%20almacenamiento%20Franqueses%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2FNovedades%20almacenamiento%20Franqueses%201%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://trello.com/c/qPl4G68A, https://trello.com/c/2mhJeMI5, https://trello.com/c/9obnCyf0, https://trello.com/c/RH0iRKpB, https://trello.com/c/1eDANfoS, https://trello.com/c/AiPUNfYy, https://trello.com/c/ZjIpOOMf, https://trello.com/c/VfpCuOUA, https://trello.com/c/xvWluZcm, https://trello.com/c/uMpLV764, https://trello.com/c/J8s6M6er, https://trello.com/c/v3uJ9OAk",0,0,0,0,2024-01-24T11:11:27.560Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,true,2023-11-28T11:00:00.000Z,2023-11-28T11:00:00.000Z,2023-11-30T11:00:00.000Z,2023-11-30T11:00:00.000Z,,,,,,,Finalizada,,
65b0dde8abc9c46250595650,MARTELL LLINARS 2,https://trello.com/c/2mhJeMI5/518-martell-llinars-2,,,,,2,"https://trello.com/1/cards/65b0dde8abc9c46250595650/attachments/65b0de29cf5d34de7e6bcd0b/download/MARTELLLLINARS_(1).png, https://trello.com/c/6j24Qh25/520-revision-propuestas-previas-12",0,0,0,0,2024-01-24T09:59:21.853Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Eliminado/Aval,No aplica,,BE-Pendiente,,,
65af7c81173ae0a43c3e0e51,Implantacion Firma Terrenos LA PLANA,https://trello.com/c/ocs1Xguq/198-implantacion-firma-terrenos-la-plana,,,,2023-12-01T08:45:00.000Z,3,"https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2F231122%5FGuille%5FLaPlana%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://trello.com/1/cards/65af7c81173ae0a43c3e0e51/attachments/65af7cd3e068fb111642466f/download/image.png, https://trello.com/c/9obnCyf0/192-hule-plana-2",0,0,0,0,2024-01-24T09:58:07.343Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,true,,2023-11-22T11:00:00.000Z,2023-12-01T11:00:00.000Z,,,,,,,BE-Pendiente,Finalizada,,
65b0dd6af486e45dc4ea6495,HELA FRANQUESES,https://trello.com/c/uMpLV764/516-hela-franqueses,,,,,2,"https://trello.com/1/cards/65b0dd6af486e45dc4ea6495/attachments/65b0dd95e7790370054a037b/download/HELAFRANQUESES.png, https://trello.com/c/6j24Qh25/520-revision-propuestas-previas-12",0,0,0,0,2024-01-24T11:10:12.794Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Eliminado,,,BE-Pendiente,,,
65b0f205d37139b2f909675b,TYR FRANQUESES,https://trello.com/c/fbMH0EL9/550-tyr-franqueses,,,,,2,"https://trello.com/1/cards/65b0f205d37139b2f909675b/attachments/65b0f232fb3032dd768a29c9/download/TYRFRANQUESES.png, https://trello.com/c/M25britQ/552-revision-propuestas-previas-5",0,0,0,0,2024-01-24T11:27:28.452Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Oportunidad,,,BE-Pendiente,,,
65b0f370706a75cbed8334a7,Revision Propuestas Previas (5),https://trello.com/c/M25britQ/552-revision-propuestas-previas-5,,,,2023-12-28T11:00:00.000Z,6,"https://trello.com/1/cards/65b0f370706a75cbed8334a7/attachments/65b0f39d42633f610e4d6f2c/download/image.png, https://trello.com/c/7Yk4uoBM, https://trello.com/c/Q82lEHDa, https://trello.com/c/efj99IhO, https://trello.com/c/fbMH0EL9, https://trello.com/c/TxmOmuS5",0,0,0,0,2024-01-24T11:28:48.771Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,true,2023-12-26T11:00:00.000Z,2023-12-26T11:00:00.000Z,2023-12-28T11:00:00.000Z,2023-12-28T11:00:00.000Z,,,,,,,Finalizada,,
65b0f1f65978b200b249ee38,SANSA FRANQUESES,https://trello.com/c/efj99IhO/549-sansa-franqueses,,,,,2,"https://trello.com/1/cards/65b0f1f65978b200b249ee38/attachments/65b0f2294e0f7fcf1e9e2064/download/SANSAFRANQUESES.png, https://trello.com/c/M25britQ/552-revision-propuestas-previas-5",0,0,0,0,2024-01-24T11:27:15.093Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Oportunidad,,,BE-Pendiente,,,
