Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Fecha de recepcion,Fecha de respuesta,Fecha de vencimiento,Fecha de entrega,PROYECTO,Prefactibilidad,Estado del proyecto,Portafolio,Power (MW),Codigo,Status,Version
65ae8643129c88cd54b85fd9,TUYA CORREDORIA 1,https://trello.com/c/7ZdZiw9J/98-tuya-corredoria-1,,,,,4,"https://trello.com/1/cards/65ae8643129c88cd54b85fd9/attachments/65ae865342986689ac8447ec/download/TUYACORREDORIA.png, https://trello.com/c/lbDacj6g, https://trello.com/c/CBD2DWcx, https://trello.com/c/xwM0MujU/186-proyectos-almacenamiento-e-redes-tuya-y-mejorana",0,0,0,0,2024-01-23T08:29:55.022Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Tramitacion,,,BE-Pendiente,,
65af6a755748e1d04763f2e3,L132 kV Tuya - Corredoria,https://trello.com/c/CBD2DWcx/147-l132-kv-tuya-corredoria,,,,2023-10-18T10:00:00.000Z,3,"https://trello.com/1/cards/65af6a755748e1d04763f2e3/attachments/65af6ae3af6df989f97b1611/download/image.png, https://ricenergyes.sharepoint.com/:x:/r/sites/CoordinacinIngeniera/_layouts/15/Doc.aspx?sourcedoc=%7BD78BB774-A17E-4D17-90D2-5DC793EA7BFF%7D&file=230925_0014_PFV_LT.xlsx&action=default&mobileredirect=true, https://trello.com/c/7ZdZiw9J/98-tuya-corredoria-1",0,0,0,0,2024-01-23T08:40:53.918Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,true,,2023-09-25T10:00:00.000Z,2023-10-18T10:00:00.000Z,,,,,,,BE-Pendiente,Finalizada,
65ae86ac4df67c88aa7673b6,Doc MA Tuya Corredoria,https://trello.com/c/lbDacj6g/101-doc-ma-tuya-corredoria,,Medio Ambiente (green),,,2,"https://trello.com/1/cards/65ae86ac4df67c88aa7673b6/attachments/65ae86cc9c69c25c87501801/download/image.png, https://trello.com/c/7ZdZiw9J/98-tuya-corredoria-1",0,0,0,0,2024-01-23T08:16:19.496Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,2023-10-23T10:00:00.000Z,,,,Tramitacion,,,BE-Pendiente,,
65af78a24fd3612f3777d936,Proyectos Almacenamiento E-Redes (Tuya y Mejorana),https://trello.com/c/xwM0MujU/186-proyectos-almacenamiento-e-redes-tuya-y-mejorana,,,,,3,"https://trello.com/1/cards/65af78a24fd3612f3777d936/attachments/65af78cae22bfbead68f7e75/download/image.png, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2F231226%5FLlana%5Feredes%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://trello.com/c/7ZdZiw9J",0,0,0,0,2024-01-23T08:29:58.274Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,2023-12-26T11:00:00.000Z,,,,,,,,BE-Pendiente,No iniciada,
65ae83de453f325766426304,HISOPO NUCIA 1,https://trello.com/c/56GSaYfb/92-hisopo-nucia-1,,,,,2,"https://trello.com/c/s42u9LW9/94-doc-dup-hisopo-nuc%C3%ADa-1, https://trello.com/1/cards/65ae83de453f325766426304/attachments/65ae863278e580458151dd8a/download/HISOPONUCIA_(1).png",0,0,0,0,2024-01-23T08:16:19.481Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Tramitacion,,,BE-Pendiente,,
65ae84700f44b0313a65ee29,Doc DUP Hisopo Nucía 1,https://trello.com/c/s42u9LW9/94-doc-dup-hisopo-nuc%C3%ADa-1,,,,,4,"https://trello.com/1/cards/65ae84700f44b0313a65ee29/attachments/65ae84b5bd22b7fa910284b8/download/image.png, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2FFICHA%20MODELO%20BEL%2Epdf&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2FRE%5F%20Memorias%20solicitudes%20DUP%20%2D%20Hisopo%20Nuc%C3%ADa%201%5F%20Hisopo%20Nuc%C3%ADa%204%5F%20Jara%20Teulada%201%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://trello.com/c/56GSaYfb/92-hisopo-nucia-1",0,0,0,0,2024-01-23T08:16:19.481Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,2023-10-24T10:00:00.000Z,2023-11-17T11:00:00.000Z,,,,Tramitacion,,,BE-Pendiente,,
65ae5d9513e4f3ff7985ed2b,Jara Teulada 1,https://trello.com/c/FTXnaR7s/38-jara-teulada-1,,,,,3,"https://trello.com/1/cards/65ae5d9513e4f3ff7985ed2b/attachments/65ae5e0eda718094bd79b3c0/download/JaraTeulada.png, https://trello.com/c/STxmR8GS/40-jara-teulada-1-req-ch-j%C3%BAcar, https://trello.com/c/CO4nhdQf/90-doc-dup-jara-teulada-1",0,0,0,0,2024-01-23T08:16:19.481Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Tramitacion,,,BE-Pendiente,,
65ae82802504cbe0d7fa0179,Doc DUP Jara Teulada 1,https://trello.com/c/CO4nhdQf/90-doc-dup-jara-teulada-1,,,,,5,"https://trello.com/1/cards/65ae82802504cbe0d7fa0179/attachments/65ae82d0659178486f464fb3/download/image.png, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2F231106%5FEntrega%5FDoc%5FDUP%5FJara%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2FFICHA%20MODELO%20BEL%2Epdf&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2FRE%5F%20Memorias%20solicitudes%20DUP%20%2D%20Hisopo%20Nuc%C3%ADa%201%5F%20Hisopo%20Nuc%C3%ADa%204%5F%20Jara%20Teulada%201%202%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://trello.com/c/FTXnaR7s/38-jara-teulada-1",0,0,0,0,2024-01-23T08:16:19.480Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,2023-10-24T10:00:00.000Z,2023-11-17T11:00:00.000Z,,,,,,,BE-Pendiente,,
65ae8030c1a8a075c1029a95,Hisopo Nucia 4,https://trello.com/c/JdRjmVyw/86-hisopo-nucia-4,,,,,2,"https://trello.com/1/cards/65ae8030c1a8a075c1029a95/attachments/65ae8045c0a6d4430daf5fc1/download/HISOPONUCIA.png, https://trello.com/c/kURGOmfz",0,0,0,0,2024-01-23T08:16:19.465Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,,,,true,,Tramitacion,,,BE-Pendiente,,
65ae80e37b882376a7f37870,Doc DUP Hisopo Nucia 4,https://trello.com/c/kURGOmfz/88-doc-dup-hisopo-nucia-4,,,,,5,"https://trello.com/1/cards/65ae80e37b882376a7f37870/attachments/65ae8120b73124f2a0846c84/download/image.png, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2FFICHA%20MODELO%20BEL%2Epdf&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2FMemoria%20DUP%20HISOPO%20NUC%C3%8DA%204%5Frev%5FSVM%2Epdf&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://ricenergyes.sharepoint.com/sites/CoordinacinIngeniera/Documentos%20compartidos/Forms/AllItems.aspx?id=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos%2FRE%5F%20Memorias%20solicitudes%20DUP%20%2D%20Hisopo%20Nuc%C3%ADa%201%5F%20Hisopo%20Nuc%C3%ADa%204%5F%20Jara%20Teulada%201%201%2Emsg&parent=%2Fsites%2FCoordinacinIngeniera%2FDocumentos%20compartidos, https://trello.com/c/JdRjmVyw/86-hisopo-nucia-4",0,0,0,0,2024-01-23T08:16:19.465Z,65a66ba1d506f717fbd4f2ff,BESS,65a66b8670328ff4d95d4353,Spain,false,,false,,2023-10-24T10:00:00.000Z,2023-11-24T11:00:00.000Z,,,,,,,BE-Pendiente,,
